id,growth_rate_id
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,2
11,2
12,2
13,2
14,2
15,2
16,4
17,4
18,4
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,4
30,4
31,4
32,4
33,4
34,4
35,3
36,3
37,2
38,2
39,3
40,3
41,2
42,2
43,4
44,4
45,4
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,1
59,1
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,1
73,1
74,4
75,4
76,4
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,1
91,1
92,4
93,4
94,4
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,1
103,1
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,1
112,1
113,3
114,2
115,2
116,2
117,2
118,2
119,2
120,1
121,1
122,2
123,2
124,2
125,2
126,2
127,1
128,1
129,1
130,1
131,1
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,4
152,4
153,4
154,4
155,4
156,4
157,4
158,4
159,4
160,4
161,2
162,2
163,2
164,2
165,3
166,3
167,3
168,3
169,2
170,1
171,1
172,2
173,3
174,3
175,3
176,3
177,2
178,2
179,4
180,4
181,4
182,4
183,3
184,3
185,2
186,4
187,4
188,4
189,4
190,3
191,4
192,4
193,2
194,2
195,2
196,2
197,2
198,4
199,2
200,3
201,2
202,2
203,2
204,2
205,2
206,2
207,4
208,2
209,3
210,3
211,2
212,2
213,4
214,1
215,4
216,2
217,2
218,2
219,2
220,1
221,1
222,3
223,2
224,2
225,3
226,1
227,1
228,1
229,1
230,2
231,2
232,2
233,2
234,1
235,3
236,2
237,2
238,2
239,2
240,2
241,1
242,3
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,4
252,4
253,4
254,4
255,4
256,4
257,4
258,4
259,4
260,4
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,4
271,4
272,4
273,4
274,4
275,4
276,4
277,4
278,2
279,2
280,1
281,1
282,1
283,2
284,2
285,6
286,6
287,1
288,1
289,1
290,5
291,5
292,5
293,4
294,4
295,4
296,6
297,6
298,3
299,2
300,3
301,3
302,4
303,3
304,1
305,1
306,1
307,2
308,2
309,1
310,1
311,2
312,2
313,5
314,6
315,4
316,6
317,6
318,1
319,1
320,6
321,6
322,2
323,2
324,2
325,3
326,3
327,3
328,4
329,4
330,4
331,4
332,4
333,5
334,5
335,5
336,6
337,3
338,3
339,2
340,2
341,6
342,6
343,2
344,2
345,5
346,5
347,5
348,5
349,5
350,5
351,2
352,4
353,3
354,3
355,3
356,3
357,1
358,3
359,4
360,2
361,2
362,2
363,4
364,4
365,4
366,5
367,5
368,5
369,1
370,3
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,4
388,4
389,4
390,4
391,4
392,4
393,4
394,4
395,4
396,4
397,4
398,4
399,2
400,2
401,4
402,4
403,4
404,4
405,4
406,4
407,4
408,5
409,5
410,5
411,5
412,2
413,2
414,2
415,4
416,4
417,2
418,2
419,2
420,2
421,2
422,2
423,2
424,3
425,6
426,6
427,2
428,2
429,3
430,4
431,3
432,3
433,3
434,2
435,2
436,2
437,2
438,2
439,2
440,3
441,4
442,2
443,1
444,1
445,1
446,1
447,4
448,4
449,1
450,1
451,1
452,1
453,2
454,2
455,1
456,5
457,5
458,1
459,1
460,1
461,4
462,2
463,2
464,1
465,2
466,2
467,2
468,3
469,2
470,2
471,2
472,4
473,1
474,2
475,1
476,2
477,3
478,2
479,2
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,4
493,1
